Date,Close_Com60,Close_Com120,Close_Com240,K_Open,K_High,K_Low,K_Close
1996-05-21,635.335324,610.521393,592.350496,692.426899,696.51001,691.375,691.375
1996-05-22,636.074678,611.262623,593.125579,691.90095,691.90095,687.882492,687.882492
1996-05-23,636.948389,612.020902,593.917645,689.891721,695.359985,689.891721,690.832504
1996-05-24,637.880808,612.801147,594.691281,690.362112,693.849976,690.362112,690.897492
1996-05-28,638.745808,613.604836,595.43405,690.629802,692.429993,687.564987,687.564987
1996-05-29,639.62097,614.253115,596.140662,689.097395,689.097395,680.88501,680.88501
1996-05-30,640.899679,615.013852,596.851612,684.991202,685.51001,680.417511,680.417511
1996-05-31,642.365647,615.853279,597.574009,682.704356,694.27002,682.704356,688.684998
1996-06-03,643.549034,616.690328,598.229876,685.694677,693.960022,685.694677,690.660004
1996-06-04,644.915969,617.454345,598.862273,688.17734,693.73999,688.17734,690.824997
1996-06-05,646.364356,618.300574,599.539256,689.501168,700.299988,689.501168,695.477494
1996-06-06,647.901453,619.136394,600.121695,692.489331,704.090027,692.489331,694.365006
1996-06-07,649.288228,619.988198,600.728306,693.427168,693.427168,685.832504,685.832504
1996-06-10,650.736937,620.992706,601.357852,689.629836,693.349976,689.629836,690.355011
1996-06-11,651.965808,622.0391,602.031819,689.992424,696.570007,689.992424,691.297516
1996-06-12,653.362582,623.261395,602.719876,690.64497,702.140015,690.64497,695.294998
1996-06-13,654.493711,624.219018,603.362976,692.969984,698.320007,692.969984,693.457504
1996-06-14,655.265808,625.169673,603.954298,693.213744,693.213744,686.470016,686.470016
1996-06-17,656.056937,625.970329,604.53062,689.84188,689.84188,680.170013,680.170013
1996-06-18,656.876453,626.633362,605.037562,685.005946,685.005946,672.487503,672.487503
1996-06-19,657.783065,627.310656,605.508017,678.746724,678.746724,668.199997,668.199997
1996-06-20,658.61484,627.999837,605.908389,673.47336,673.47336,663.210007,663.210007
1996-06-21,659.81984,628.824181,606.317356,668.341684,673.390015,668.341684,668.730011
1996-06-24,661.030968,629.651558,606.785083,668.535848,680.619995,668.535848,675.375
1996-06-25,661.998387,630.324509,607.150083,671.955424,678.549988,671.955424,672.859985
1996-06-26,662.830807,631.040903,607.465951,672.407704,672.407704,662.127487,662.127487
1996-06-27,663.822097,631.923444,607.801901,667.267596,671.47998,664.227508,664.227508
1996-06-28,664.859355,632.842788,608.134091,665.747552,681.690002,665.747552,675.32251
1996-07-01,666.00871,633.858526,608.582893,670.535031,687.950012,670.535031,682.437515
1996-07-02,667.002258,635.053198,609.132686,676.486273,687.070007,676.486273,683.612503
1996-07-03,667.902904,636.188854,609.643058,680.049388,680.710022,677.005005,677.005005
1996-07-05,668.662098,637.028854,610.09719,678.527196,678.527196,665.76001,665.76001
1996-07-08,669.386936,637.875493,610.482975,672.143603,672.143603,658.580002,658.580002
1996-07-09,670.220001,638.910903,610.846818,665.361803,665.361803,659.240006,659.240006
1996-07-10,671.080969,639.824018,611.179918,662.300904,662.300904,657.075012,657.075012
1996-07-11,671.576615,640.563936,611.392852,659.687958,659.687958,644.030014,644.030014
1996-07-12,671.963389,641.225739,611.644422,651.858986,651.858986,634.69751,634.69751
1996-07-15,671.656131,641.57205,611.801488,643.278248,643.278248,620.770004,620.770004
1996-07-16,671.551937,641.92451,612.028926,632.024126,632.024126,602.4375,602.4375
1996-07-17,671.517421,642.44869,612.35843,617.230813,634.419983,617.230813,623.554993
1996-07-18,671.690485,642.953608,612.733141,620.392903,644.109985,620.392903,636.829987
1996-07-19,671.509195,643.451886,613.032603,628.611445,643.75,628.611445,637.122498
1996-07-22,671.017905,643.836969,613.282108,632.866972,633.049988,627.262497,627.262497
1996-07-23,669.958712,644.018198,613.416942,630.064734,630.064734,611.442505,611.442505
1996-07-24,668.964679,644.190821,613.539091,620.75362,620.75362,597.762497,597.762497
1996-07-25,668.21855,644.425002,613.748347,609.258059,620.549988,609.258059,612.759995
1996-07-26,667.676454,644.683281,613.986984,611.009027,633.679993,611.009027,626.962509
1996-07-29,666.93097,644.839756,614.134835,618.985768,637.049988,618.985768,627.842499
1996-07-30,666.236777,644.961478,614.326033,623.414133,630.400024,623.414133,624.727508
1996-07-31,665.902584,645.099265,614.489587,624.07082,640.200012,624.07082,633.707504
1996-08-01,665.741294,645.394347,614.715992,628.889162,651.900024,628.889162,643.585006
1996-08-02,665.820488,645.755331,615.014835,636.237084,670.590027,636.237084,660.142517
1996-08-05,665.823714,646.066888,615.354215,648.1898,670.97998,648.1898,664.960007
1996-08-06,665.955326,646.447216,615.694876,656.574904,671.73999,656.574904,664.930008
1996-08-07,666.275165,646.970413,616.071116,660.752456,682.47998,660.752456,676.292495
1996-08-08,666.355488,647.461642,616.461034,668.522476,682.330017,668.522476,679.63002
1996-08-09,666.190811,647.937708,616.86686,674.076248,682.27002,674.076248,677.38501
1996-08-12,665.932101,648.432381,617.335207,675.730629,681.919983,675.730629,677.502503
1996-08-13,665.592424,648.860823,617.757852,676.616566,679.390015,673.612503,673.612503
1996-08-14,665.300811,649.269757,618.189009,675.114534,678.369995,673.434982,673.434982
1996-08-15,665.079521,649.545823,618.603554,674.274758,680.650024,674.274758,677.225006
1996-08-16,664.740973,649.789184,619.012934,675.749882,680.73999,675.507507,675.507507
1996-08-19,664.456941,650.054184,619.322397,675.628694,675.628694,668.892502,668.892502
1996-08-20,664.044683,650.314594,619.606488,672.260598,672.260598,666.832489,666.832489
1996-08-21,663.646779,650.609512,619.888637,669.546544,670.409973,664.792481,664.792481
1996-08-22,663.52936,651.091479,620.208306,667.169512,681.630005,667.169512,674.524994
1996-08-23,663.408392,651.688282,620.488554,670.847253,685.150024,670.847253,680.38501
1996-08-26,663.341133,652.273692,620.765124,675.616131,678.47998,675.164993,675.164993
1996-08-27,663.26065,652.791478,621.059959,675.390562,679.080017,675.390562,675.962494
